variable,initial_value,final_value,unit
S_su,5.0,-6.847643469223996e-69,gCOD/m3
S_aa,2.0,2.8551576696036436e-92,gCOD/m3
S_fa,0.1,2.302310186027957e-47,gCOD/m3
S_va,0.05,-2.9654363134849494e-59,gCOD/m3
S_bu,0.05,-2.965436313485245e-59,gCOD/m3
S_pro,0.1,-4.7832329738324274e-61,gCOD/m3
S_ac,0.5,5.126264015961712e-07,gCOD/m3
S_h2,1e-06,-4.541273223308163e-59,gCOD/m3
S_ch4,0.1,0.1,gCOD/m3
S_IC,0.1,0.1,gCOD/m3
S_IN,0.05,0.05,gCOD/m3
S_I,0.1,0.1,gCOD/m3
X_ch,10.0,10.0,gCOD/m3
X_pr,8.0,8.0,gCOD/m3
X_li,6.0,6.0,gCOD/m3
X_su,1.0,1.499999999999998,gCOD/m3
X_aa,0.8,0.9600000000000001,gCOD/m3
X_fa,0.6,0.6060000000000002,gCOD/m3
X_c4,0.5,0.5,gCOD/m3
X_pro,0.4,0.40999999999999986,gCOD/m3
X_ac,0.3,0.3079999999999998,gCOD/m3
X_h2,0.2,0.22499997436868033,gCOD/m3
X_I,2.0,2.0000000600000005,gCOD/m3
S_cat,0.01,0.01,gCOD/m3
S_an,0.01,0.01,gCOD/m3
S_Fe2,0.01,0.006667472309703531,mol/m3
S_EDTA,0.001,1.499571357058892e-07,mol/m3
S_FeEDTA,0.0,0.0009998500428642942,mol/m3
X_FeS,0.0,0.0023326776474321877,mol/m3
